episode,env_return,total_return,status
557,8.0,8.0,success
558,8.0,8.0,success
559,8.0,8.0,success
560,8.0,8.0,success
561,8.0,8.0,success
562,8.0,8.0,success
563,8.0,8.0,success
564,8.0,8.0,success
565,8.0,8.0,success
566,8.0,8.0,success
567,8.0,8.0,success
568,8.0,8.0,success
569,8.0,8.0,success
570,8.0,8.0,success
571,8.0,8.0,success
572,8.0,8.0,success
573,8.0,8.0,success
574,8.0,8.0,success
575,8.0,8.0,success
576,8.0,8.0,success
577,8.0,8.0,success
578,8.0,8.0,success
579,8.0,8.0,success
580,8.0,8.0,success
581,8.0,8.0,success
582,8.0,8.0,success
583,8.0,8.0,success
584,8.0,8.0,success
585,8.0,8.0,success
586,8.0,8.0,success
587,8.0,8.0,success
588,8.0,8.0,success
589,8.0,8.0,success
590,8.0,8.0,success
591,8.0,8.0,success
592,8.0,8.0,success
593,8.0,8.0,success
594,8.0,8.0,success
595,8.0,8.0,success
596,3.0,3.0,death
597,8.0,8.0,success
598,8.0,8.0,success
599,8.0,8.0,success
600,8.0,8.0,success
601,8.0,8.0,success
602,8.0,8.0,success
603,8.0,8.0,success
604,8.0,8.0,success
605,8.0,8.0,success
606,8.0,8.0,success
607,8.0,8.0,success
608,8.0,8.0,success
609,8.0,8.0,success
610,8.0,8.0,success
611,8.0,8.0,success
612,8.0,8.0,success
613,8.0,8.0,success
614,8.0,8.0,success
615,8.0,8.0,success
616,8.0,8.0,success
617,8.0,8.0,success
618,8.0,8.0,success
619,8.0,8.0,success
620,8.0,8.0,success
621,8.0,8.0,success
622,8.0,8.0,success
623,8.0,8.0,success
624,8.0,8.0,success
625,8.0,8.0,success
626,8.0,8.0,success
627,8.0,8.0,success
628,8.0,8.0,success
629,8.0,8.0,success
630,8.0,8.0,success
631,8.0,8.0,success
632,8.0,8.0,success
633,8.0,8.0,success
634,8.0,8.0,success
635,8.0,8.0,success
636,8.0,8.0,success
637,8.0,8.0,success
638,8.0,8.0,success
639,8.0,8.0,success
